place,title,time,pay,date
서울 강남구,"(업계최고대우,본사직영)혼밥대왕배달전문매장에서 주,야간 직원모집합니다.",시간협의,"월급3,300,000",22시간전
서울 강남구,"(업계최고대우,본사직영)혼밥대왕배달전문매장에서 주,야간 직원모집합니다.",시간협의,"월급3,300,000",22시간전
서울 전체,혼밥대왕   문정점 에서 조리 경력자를 모십니다,시간협의,"시급10,000",01/16
서울 강남구,"(업계최고대우,본사직영)혼밥대왕배달전문매장에서 평일주간 직원모집합니다.",시간협의,"시급10,000",01/16
인천 전체,인천송도1호점 (시급 11000원 - 추가지급가능),시간협의,"시급11,000",01/15
서울 송파구,배달전문점 주간 직원 모십니다 주6일,09:00~21:00,"월급2,700,000",01/10
충남 천안시,혼밥대왕불당동점,09:00~03:00,"시급9,160",01/09
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급10,000",01/07
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급10,000",01/07
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급10,000",01/07
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급10,000",01/07
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,10:00~22:00,"시급10,000",01/07
서울 은평구,(급구)배달전문매장혼밥대왕 역촌점에서 주간직원을 모십니다+,10:00~22:00,"월급2,600,000",01/06
서울 송파구,배달전문점 주간 직원 모십니다 주6일,09:00~21:00,"월급2,700,000",01/01
경기 의정부,배달전문점에서 야간 직원 모십니다  주6일,10:00~22:00,"월급2,700,000",01/01
경기 의정부,"배달전문점 토,일 근무자 구합니다",10:00~22:00,"시급9,500",01/01
